product_id,warehouse,stock_quantity,reorder_level,stock_status,last_updated
OFF-KLE-10000527,Singapore Warehouse ,256.0,51.0,In Stock,2026-07-20
FUR-TA-10003690,Rotterdam Warehouse,70.0,14.0,In Stock,
OFF-ELI-10001351,Singapore Warehouse,445.0,89.0,In Stock,2026-07-20
FUR-CH-10002780,Rotterdam Warehouse,,12.0,In Stock,2026-07-20
TEC-PH-10001536,Chicago Warehouse,104.0,20.0,In Stock,2026-07-20
OFF-LA-10002490,Singapore Warehouse,376.0,75.0,In Stock,2026-07-20
OFF-PA-10002219,Singapore Warehouse,329.0,65.0,In Stock,2026-07-20
OFF-LA-10002086,Singapore Warehouse,350.0,70.0,In-Stock,2026-07-20
OFF-BI-10003588,Singapore Warehouse,310.0,62.0,In Stock,2026-07-20
OFF-PA-10003790,Singapore Warehouse,265.0,53.0,In Stock,
OFF-EN-10000215,Singapore Warehouse,384.0,76.0,In Stock,20/07/2026
FUR-TA-10004722,Rotterdam Warehouse,85.0,17.0,In Stock,2026-07-20
FUR-FU-10003235,Rotterdam Warehouse,107.0,21.0,In Stock,2026-07-20
OFF-AR-10002991,Singapore Warehouse,337.0,67.0,In Stock,20/07/2026
OFF-PA-10002671,Singapore Warehouse,240.0,48.0,In Stock,2026-07-20
TEC-PH-10004404,Chicago Warehouse,143.0,28.0,In Stock,2026-07-20
OFF-ST-10002506,Singapore Warehouse,421.0,84.0,In Stock,2026-07-20
TEC-CO-10000821,Chicago Warehouse,169.0,33.0,In Stock,2026-07-20
OFF-BI-10000328,Singapore Warehouse,397.0,79.0,In Stock,2026-07-20
OFF-KRA-10002441,Singapore Warehouse,413.0,82.0,In Stock,2026-07-20
TEC-MEM-10000263,,248.0,49.0,In Stock,2026-07-20
OFF-ST-10004668,Singapore Warehouse,403.0,80.0,In Stock,2026-07-20
OFF-WIL-10003774,Singapore Warehouse,486.0,97.0,In Stock,2026-07-20
OFF-EN-10001823,Singapore Warehouse,389.0,77.0,In Stock,2026-07-20
OFF-AR-10001068,Singapore Warehouse,256.0,51.0,In Stock,2026-07-20
FUR-BO-10003549,Rotterdam Warehouse,113.0,22.0,In Stock,2026-07-20
TEC-PH-10000896,Chicago Warehouse,202.0,40.0,In Stock,2026-07-20
TEC-AC-10004269,Chicago Warehouse,113.0,22.0,In Stock,20/07/2026
OFF-PA-10002222,Singapore Warehouse,237.0,47.0,In Stock,2026-07-20
OFF-AP-10000078,Singapore Warehouse,438.0,87.0,In Stock,2026-07-20
OFF-BI-10002796,Singapore Warehouse,486.0,97.0,In Stock,2026-07-20
OFF-AP-10002413,Singapore Warehouse,457.0,91.0,In Stock,2026-07-20
TEC-AC-10001990,Chicago Warehouse,,16.0,In Stock,2026-07-20
FUR-CH-10000105,Rotterdam Warehouse,115.0,,In Stock,2026-07-20
TEC-PH-10003535,Chicago Warehouse,189.0,37.0,In Stock,2026-07-20
OFF-BI-10002594,Singapore Warehouse,259.0,51.0,In Stock,2026-07-20
OFF-EN-10002849,Singapore Warehouse,285.0,57.0,In Stock,2026-07-20
TEC-CIS-10002344,Chicago Warehouse,221.0,44.0,In Stock,2026-07-20
OFF-SU-10001165,Singapore Warehouse,329.0,65.0,In Stock,2026-07-20
OFF-SU-10001624,Singapore Warehouse,291.0,58.0,In Stock,2026-07-20
FUR-TA-10000073,Rotterdam Warehouse,64.0,12.0,In Stock,2026-07-20
OFF-AP-10000604,Singapore Warehouse,391.0,78.0,In Stock,2026-07-20
TEC-MA-10002368,Chicago Warehouse,127.0,25.0,In Stock,
OFF-PA-10001837,Singapore Warehouse,372.0,74.0,In Stock,2026-07-20
OFF-AR-10001725,Singapore Warehouse,342.0,68.0,In Stock,2026-07-20
TEC-BEL-10002178,Chicago Warehouse,241.0,48.0,In Stock,2026-07-20
FUR-ADV-10001283,Rotterdam Warehouse,147.0,29.0,In Stock,2026-07-20
OFF-PA-10000655,Singapore Warehouse,314.0,62.0,IN STOCK,2026-07-20
OFF-ROG-10002818,Singapore Warehouse,450.0,90.0,In Stock,20/07/2026
OFF-EN-10004473,Singapore Warehouse,218.0,43.0,In Stock,2026-07-20
OFF-LA-10003820,Singapore Warehouse,306.0,61.0,In Stock,2026-07-20
TEC-MA-10004626,Chicago Warehouse,89.0,17.0,In Stock,
TEC-MA-10000461,Chicago Warehouse,130.0,26.0,In Stock,2026-07-20
TEC-AC-10000633,Chicago Warehouse,196.0,39.0,In Stock,2026-07-20
TEC-CO-10000786,Chicago Warehouse,130.0,26.0,In Stock,2026-07-20
OFF-AR-10000767,Singapore Warehouse,426.0,85.0,In Stock,2026-07-20
TEC-PH-10003092,Chicago Warehouse,183.0,36.0,In Stock,2026-07-20
FUR-TA-10004416,Rotterdam Warehouse,106.0,21.0,In Stock,2026-07-20
TEC-AC-10001636,Chicago Warehouse,,23.0,,2026-07-20
TEC-CO-10003346,Chicago Warehouse,80.0,16.0,In Stock,2026-07-20
OFF-BI-10002711,Singapore Warehouse,218.0,43.0,In Stock,2026-07-20
OFF-PA-10001033,Singapore Warehouse,484.0,96.0,In Stock,2026-07-20
OFF-BI-10003925,Singapore Warehouse,241.0,48.0,In Stock,2026-07-20
FUR-DAN-10003334,Rotterdam Warehouse,54.0,10.0,In Stock,
TEC-MA-10000964,Chicago Warehouse,158.0,31.0,In Stock,2026-07-20
OFF-AP-10004227,Singapore Warehouse,218.0,43.0,In Stock,2026-07-20
OFF-GRE-10000492,Singapore Warehouse ,359.0,71.0,In Stock,2026-07-20
TEC-AC-10000140,Chicago Warehouse,155.0,31.0,In Stock,2026-07-20
OFF-PA-10002101,Singapore Warehouse,499.0,99.0,In Stock,2026-07-20
TEC-ENE-10001541,Chicago Warehouse,135.0,27.0,In Stock,2026-07-20
OFF-ACC-10001281,Singapore Warehouse,349.0,69.0,In Stock,2026-07-20
OFF-BI-10001645,Singapore Warehouse,314.0,62.0,In Stock,2026-07-20
FUR-TA-10000355,Rotterdam Warehouse,145.0,29.0,IN STOCK,2026-07-20
FUR-BO-10004679,Rotterdam Warehouse,87.0,17.0,In Stock,2026-07-20
TEC-CAN-10001256,Chicago Warehouse,128.0,25.0,In Stock,2026-07-20
TEC-AC-10003750,Chicago Warehouse,167.0,33.0,In Stock,2026-07-20
OFF-LA-10001019,Singapore Warehouse,354.0,,In Stock,2026-07-20
FUR-CH-10000336,Rotterdam Warehouse,78.0,15.0,In Stock,2026-07-20
OFF-AR-10003631,Singapore Warehouse,322.0,64.0,In Stock,2026-07-20
OFF-SU-10000926,Singapore Warehouse,376.0,75.0,In Stock,2026-07-20
TEC-PH-10003486,Chicago Warehouse,194.0,38.0,IN STOCK,2026-07-20
OFF-AR-10001672,Singapore Warehouse,299.0,59.0,In Stock,2026-07-20
OFF-ST-10004017,Singapore Warehouse,461.0,92.0,In Stock,2026-07-20
TEC-AC-10004044,Chicago Warehouse,242.0,48.0,In Stock,2026-07-20
OFF-NOV-10004671,Singapore Warehouse ,443.0,88.0,In Stock,2026-07-20
FUR-TA-10000164,Rotterdam Warehouse,114.0,22.0,In Stock,2026-07-20
FUR-TA-10000963,Rotterdam Warehouse,131.0,26.0,In Stock,2026-07-20
FUR-BO-10001872,Rotterdam Warehouse,55.0,11.0,In Stock,2026-07-20
OFF-SU-10002363,Singapore Warehouse,482.0,96.0,In Stock,2026-07-20
OFF-EN-10004507,Singapore Warehouse,476.0,95.0,In Stock,2026-07-20
FUR-FU-10003069,Rotterdam Warehouse,132.0,26.0,In Stock,2026-07-20
FUR-FU-10001086,Rotterdam Warehouse,115.0,23.0,In Stock,2026-07-20
OFF-BI-10004185,Singapore Warehouse,278.0,55.0,In Stock,2026-07-20
OFF-BI-10002627,Singapore Warehouse,418.0,83.0,In Stock,2026-07-20
FUR-TA-10001307,Rotterdam Warehouse,78.0,15.0,In Stock,2026-07-20
TEC-AC-10004510,Chicago Warehouse,204.0,40.0,In Stock,2026-07-20
OFF-AP-10003497,Singapore Warehouse,270.0,54.0,In Stock,2026-07-20
FUR-FU-10002407,Rotterdam Warehouse,51.0,10.0,In Stock,2026-07-20
OFF-AP-10004464,Singapore Warehouse,325.0,65.0,In Stock,20/07/2026
FUR-TA-10002912,Rotterdam Warehouse,53.0,10.0,In Stock,2026-07-20
OFF-STI-10001136,Singapore Warehouse,352.0,70.0,In Stock,2026-07-20
OFF-PA-10003543,Singapore Warehouse,337.0,67.0,In Stock,2026-07-20
FUR-HON-10003080,Rotterdam Warehouse,90.0,18.0,In Stock,2026-07-20
TEC-CAN-10004697,Chicago Warehouse,164.0,32.0,In Stock,2026-07-20
TEC-CO-10002759,Chicago Warehouse,85.0,17.0,,2026-07-20
OFF-ACC-10001285,Singapore Warehouse,418.0,83.0,In Stock,2026-07-20
TEC-MA-10000374,Chicago Warehouse,241.0,48.0,IN STOCK,2026-07-20
TEC-PH-10001708,Chicago Warehouse,223.0,44.0,In Stock,2026-07-20
OFF-AP-10001567,Singapore Warehouse,235.0,47.0,In Stock,2026-07-20
FUR-CH-10000665,Rotterdam Warehouse ,123.0,24.0,IN STOCK,2026-07-20
OFF-ST-10002539,,447.0,89.0,In Stock,2026-07-20
FUR-HON-10001960,Rotterdam Warehouse,116.0,23.0,In Stock,2026-07-20
OFF-PA-10001497,Singapore Warehouse,435.0,87.0,In Stock,2026-07-20
OFF-PA-10000362,Singapore Warehouse,265.0,53.0,In Stock,2026-07-20
TEC-PH-10001949,Chicago Warehouse,161.0,32.0,In Stock,2026-07-20
FUR-CH-10003822,Rotterdam Warehouse,64.0,,,2026-07-20
OFF-AR-10003897,Singapore Warehouse,285.0,57.0,IN STOCK,2026-07-20
OFF-AR-10001972,Singapore Warehouse,376.0,75.0,In Stock,2026-07-20
TEC-MA-10002629,Chicago Warehouse,170.0,34.0,In Stock,2026-07-20
TEC-MA-10003101,Chicago Warehouse,167.0,33.0,In Stock,2026-07-20
OFF-ST-10003750,Singapore Warehouse,365.0,73.0,In Stock,
OFF-FA-10000067,Singapore Warehouse,343.0,68.0,IN STOCK,2026-07-20
OFF-LA-10004745,Singapore Warehouse,296.0,59.0,In Stock,2026-07-20
OFF-ST-10000306,Singapore Warehouse,420.0,84.0,In Stock,2026-07-20
OFF-SU-10003659,Singapore Warehouse,404.0,80.0,In Stock,
FUR-FU-10003326,Rotterdam Warehouse,144.0,28.0,In Stock,2026-07-20
OFF-ROG-10002279,Singapore Warehouse,230.0,46.0,In Stock,2026-07-20
OFF-ST-10001554,Singapore Warehouse,383.0,76.0,In Stock,2026-07-20
TEC-CO-10003349,Chicago Warehouse,122.0,24.0,In Stock,2026-07-20
OFF-HAM-10004674,Singapore Warehouse,472.0,94.0,In Stock,2026-07-20
TEC-PH-10000705,Chicago Warehouse,87.0,17.0,In Stock,2026-07-20
OFF-SME-10004323,Singapore Warehouse,398.0,79.0,In Stock,2026-07-20
FUR-TA-10004175,Rotterdam Warehouse,74.0,14.0,In Stock,2026-07-20
FUR-RUB-10001094,Rotterdam Warehouse,123.0,24.0,In Stock,2026-07-20
OFF-EN-10003529,Singapore Warehouse,310.0,62.0,In Stock,20/07/2026
OFF-ST-10000287,Singapore Warehouse,382.0,76.0,In Stock,2026-07-20
OFF-PA-10002043,Singapore Warehouse,275.0,55.0,In Stock,2026-07-20
TEC-MA-10003492,Chicago Warehouse,213.0,42.0,In Stock,2026-07-20
FUR-BO-10003968,Rotterdam Warehouse,75.0,15.0,In Stock,2026-07-20
TEC-SAM-10003520,Chicago Warehouse,99.0,19.0,IN STOCK,2026-07-20
FUR-CH-10002417,Rotterdam Warehouse,,18.0,In Stock,20/07/2026
FUR-ADV-10002632,,110.0,22.0,In Stock,20/07/2026
TEC-MA-10000606,Chicago Warehouse,,46.0,In Stock,2026-07-20
OFF-ST-10004428,Singapore Warehouse,455.0,91.0,In Stock,2026-07-20
